algorithm,dataset_type,filename,input_size,threads,run_number,execution_time_ms,memory_usage_kb,comparison_count
mergesort_par,same_value,same_value-input-5000000-1-float.txt,5000000,2,3,312.529,112752,56894080
mergesort_par,same_value,same_value-input-5000000-1-float.txt,5000000,4,1,171.577,118528,56894080
mergesort_par,same_value,same_value-input-5000000-1-float.txt,5000000,4,2,170.004,111456,56894080
mergesort_par,same_value,same_value-input-5000000-1-float.txt,5000000,4,3,171.164,94256,56894080
mergesort_par,same_value,same_value-input-5000000-1-float.txt,5000000,8,1,252.078,110416,56894080
mergesort_par,same_value,same_value-input-5000000-1-float.txt,5000000,8,2,251.966,122608,56894080
mergesort_par,same_value,same_value-input-5000000-1-float.txt,5000000,8,3,256.505,120704,56894080
mergesort_par,same_value,same_value-input-5000000-1-float.txt,5000000,16,1,256.196,117520,56894080
mergesort_par,same_value,same_value-input-5000000-1-float.txt,5000000,16,2,255.577,112848,56894080
mergesort_par,same_value,same_value-input-5000000-1-float.txt,5000000,16,3,259.807,121504,56894080
quicksort_seq,same_value,same_value-input-5000000-1-float.txt,5000000,1,1,40.880,74384,119434622
quicksort_seq,same_value,same_value-input-5000000-1-float.txt,5000000,1,2,40.331,74384,119434622
quicksort_seq,same_value,same_value-input-5000000-1-float.txt,5000000,1,3,40.560,74384,119434622
quicksort_par,same_value,same_value-input-5000000-1-float.txt,5000000,1,1,41.283,74384,119434622
quicksort_par,same_value,same_value-input-5000000-1-float.txt,5000000,1,2,40.679,74384,119434622
quicksort_par,same_value,same_value-input-5000000-1-float.txt,5000000,1,3,40.801,74368,119434622
quicksort_par,same_value,same_value-input-5000000-1-float.txt,5000000,2,1,44.295,74416,119434622
quicksort_par,same_value,same_value-input-5000000-1-float.txt,5000000,2,2,75.013,74416,119434622
quicksort_par,same_value,same_value-input-5000000-1-float.txt,5000000,2,3,46.432,74416,119434622
quicksort_par,same_value,same_value-input-5000000-1-float.txt,5000000,4,1,66.450,74448,119434622
quicksort_par,same_value,same_value-input-5000000-1-float.txt,5000000,4,2,65.859,74448,119434622
quicksort_par,same_value,same_value-input-5000000-1-float.txt,5000000,4,3,65.379,73984,119434622
quicksort_par,same_value,same_value-input-5000000-1-float.txt,5000000,8,1,158.734,74496,119434622
quicksort_par,same_value,same_value-input-5000000-1-float.txt,5000000,8,2,161.251,74512,119434622
quicksort_par,same_value,same_value-input-5000000-1-float.txt,5000000,8,3,144.372,74512,119434622
quicksort_par,same_value,same_value-input-5000000-1-float.txt,5000000,16,1,177.420,74640,119434622
quicksort_par,same_value,same_value-input-5000000-1-float.txt,5000000,16,2,174.924,74640,119434622
quicksort_par,same_value,same_value-input-5000000-1-float.txt,5000000,16,3,173.394,74624,119434622
quicksort_seq,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,1,1,61.227,74384,117329316
quicksort_seq,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,1,2,66.661,74384,117329316
quicksort_seq,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,1,3,61.183,74368,117329316
quicksort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,1,1,60.989,74384,117329316
quicksort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,1,2,61.279,74384,117329316
quicksort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,1,3,62.605,74384,117329316
quicksort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,2,1,42.782,74416,117329316
quicksort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,2,2,41.331,74416,117329316
quicksort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,2,3,42.342,74416,117329316
quicksort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,4,1,50.746,74464,117329316
quicksort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,4,2,50.668,74448,117329316
